gu,hospital,is24,latitude,longitude
종로구,10,0,37.57277778,126.9791667
중구,16,2,37.55972222,126.9938889
용산구,28,2,37.53388889,126.9775
성동구,28,1,37.54777778,127.0247222
광진구,32,3,37.53916667,127.0836111
동대문구,28,2,37.56666667,127.0333333
중랑구,27,1,37.60194444,127.1047222
성북구,35,3,37.60277778,127.0144444
강북구,23,2,37.635,127.0202778
도봉구,23,1,37.65055556,127.03
노원구,35,2,37.66055556,127.0672222
은평구,38,6,37.58333333,126.9166667
서대문구,24,0,37.57805556,126.935
마포구,44,3,37.55444444,126.9091667
양천구,45,3,37.52166667,126.8583333
강서구,46,5,37.56222222,126.8161111
구로구,28,3,37.49444444,126.8502778
금천구,16,3,37.47472222,126.8911111
영등포구,30,5,37.52611111,126.9030556
동작구,22,2,37.5,126.9333333
관악구,27,1,37.47305556,126.9530556
서초구,49,3,37.49444444,127.0108333
강남구,78,19,37.51666667,127.0333333
송파구,63,8,37.50222222,127.1111111
강동구,47,3,37.55277778,127.1455556
