hospital_id,name,contract,is24,isBeautyParlor,isHotel,isStore,hasParkingLot,businessHours,latitude,longitude,address,subject,species
1,유림동물안과병원,02-593-1045,0,0,0,1,1,"평일,토 09:00~18:00,목 14:00~18:00",37.51810764,127.0184877,서울특별시 서초구 강남대로 631 크레신타워 1층 유림동물안과병원,안과,"개,고양이"
2,다루동물병원,02-356-8353,0,0,0,0,0,평일 10:00~20:00/토 10:00~19:00,37.61229359,126.932156,서울특별시 은평구 불광로 60 1층 (불광동),"치과,건강검진,슬개골탈구,비뇨기과,내과,외과","개,고양이"
3,제일종합동물병원,02-894-3030,0,1,0,0,0,,37.45257056,126.9062379,서울특별시 금천구 독산로 58,,
4,안암종합동물병원,02-925-3686,0,0,0,0,0,,37.58056245,127.0267864,서울특별시 동대문구 안암로 40,,
5,포레동물병원,02-468-7975,0,1,0,1,1,평일 10:00-19:00 / 토요일 10:00-14:00,37.54364277,127.0491876,서울특별시 성동구 성수일로 33 1층 (성수동1가 정인숙보습학원),,"개,고양이"
6,우리들동물종합병원,02-979-8275,0,1,0,1,0,"평일 10:00~19:30/토,공휴일 10:00~18:30",37.64349621,127.0657408,서울특별시 노원구 동일로 1280,"슬개골탈구,수술","개,고양이"
7,신창동물병원,02-992-9414,0,0,0,0,0,매일 10:00~20:00,37.63825747,127.0379969,서울특별시 도봉구 덕릉로 230,건강검진,
8,튼튼동물병원,02-549-9773,0,1,0,1,1,"매일 10:00-18:00 (월,일요일 예약진료만 가능)",37.52678582,127.024455,서울특별시 강남구 압구정로 151 상가 1동 201호 (압구정동 현대아파트),"내과,비뇨기과,피부과,신경과,정형외과,일반외과,재활의학","개,고양이"
9,이재풍동물병원,02-404-6123,0,0,0,0,0,평일 09:30~21:00/ 공휴일 13:00~21:00,37.50646453,127.1292379,서울특별시 송파구 오금로35길 44,"예방접종,검진,중성화","개,고양이"
10,고양이병원 백산동물병원,02-1644-5653,1,0,0,1,1,매일 일반진료 09:30-20:00 / 매일 응급진료 20:00-09:00 (모든 진료는 예약제로 운영됩니다),37.50003117,127.0393548,서울특별시 강남구 논현로86길 22 2층,"외과,치과,줄기세포,내과,영상,유전자검사,안과",고양이
