HospitalID,name,mon_start,tue_start,wed_start,thu_start,fri_start,sat_start,sun_start,hol_start,mon_end,tue_end,wed_end,thu_end,fri_end,sat_end,sun_end,hol_end,businessHours,,,is24
1,유림동물안과병원,9:00,9:00,9:00,14:00,9:00,9:00,,,18:00,18:00,18:00,18:00,18:00,18:00,,,"평일,토 09:00~18:00,목 14:00~18:00",,,0
2,다루동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,20:00,20:00,20:00,20:00,20:00,19:00,,,평일 10:00~20:00/토 10:00~19:00,,,0
3,제일종합동물병원,,,,,,,,,,,,,,,,,,,,0
4,안암종합동물병원,,,,,,,,,,,,,,,,,,,,0
5,포레동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,19:00,19:00,19:00,19:00,19:00,14:00,,,평일 10:00~19:00 / 토요일 10:00~14:00,,,0
6,우리들동물종합병원,10:00,10:00,10:00,10:00,10:00,10:00,,10:00,19:30,19:30,19:30,19:30,19:30,18:30,,18:30,"평일 10:00~19:30/토,공휴일 10:00~18:30",,,0
7,신창동물병원,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,매일 10:00~20:00,,,0
8,튼튼동물병원,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,"매일 10:00~18:00 (월,일요일 예약진료만 가능)",,,0
9,이재풍동물병원,9:30,9:30,9:30,9:30,9:30,,,13:00,21:00,21:00,21:00,21:00,21:00,,,21:00,평일 09:30~21:00/ 공휴일 13:00~21:00,,,0
10,고양이병원 백산동물병원,9:30,9:30,9:30,9:30,9:30,9:30,9:30,9:30,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,매일 일반진료 09:30~20:00 / 매일 응급진료 20:00~09:00 (모든 진료는 예약제로 운영됩니다),,,1
11,스테이동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,20:00,20:00,20:00,20:00,20:00,18:00,,,평일 10:00~20:00 / 토요일 10:00~18:00,,,0
12,녹번동물병원,,,,,,,,,,,,,,,,,,,,0
13,로얄동물병원,9:00,9:00,9:00,9:00,9:00,9:00,9:00,9:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,"매일 09:00~22:00/야간응급 22:00~09:00(금,토 휴무)/미용 10:00~19:00(전화예약필수)",,,1
14,오렌지동물병원,9:00,9:00,9:00,9:00,9:00,,10:00,10:00,21:00,21:00,21:00,21:00,21:00,,20:00,20:00,"평일 09:00~21:00 / 일,공휴일 10:00~20:00",,,0
15,노룬산동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,19:00,19:00,19:00,19:00,19:00,17:00,,,평일 10:00~19:00/토요일 10:00~17:00,,,0
16,선릉동물병원,9:30,9:30,9:30,9:30,9:30,9:30,9:30,,21:30,21:30,21:30,21:30,21:30,21:30,19:00,,월~토 09:30~21:30/일 09:30~19:00,,,0
17,피카소동물병원,9:00,9:00,9:00,9:00,9:00,9:00,,,20:00,20:00,20:00,20:00,20:00,19:00,,,평일 09:00~20:00/토요일 09:00~19:00,,,0
18,양지동물병원,9:00,9:00,9:00,9:00,9:00,9:00,9:00,9:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,매일 09:00~22:00,,,0
19,사랑의동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,19:00,19:00,19:00,19:00,19:00,17:00,,,평일 10:00~19:00/토 10:00~17:00/미용시간 10:30~17:00 (예약제),,,0
20,원동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,19:00,19:00,19:00,19:00,19:00,17:00,,,평일 10:00~19:00 / 토요일 10:00~17:00,,,0
21,보광동물병원,9:00,9:00,9:00,9:00,9:00,9:00,,,19:00,19:00,19:00,19:00,19:00,19:00,,,"평일,토 09:00~19:00",,,0
22,Dr.주 동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,18:30,18:30,18:30,18:30,18:30,15:00,,,평일 10:00~18:30/토 10:00~15:00,,,0
23,피닉스동물병원,9:30,9:30,9:30,9:30,9:30,9:30,,9:30,20:00,20:00,20:00,20:00,20:00,17:00,,17:00,"평일 09:30~20:00/토,공휴일 09:30~17:00",,,0
24,올바른동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,20:00,20:00,20:00,20:00,20:00,18:00,,,평일 10:00~20:00/토 10:00~18:00,,,0
25,시마동물병원,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,매일 10:00~20:00,,,0
26,가재울봉쥬르동물병원,9:30,9:30,9:30,9:30,9:30,9:30,,,20:00,20:00,20:00,20:00,20:00,19:00,,,평일 09:30~20:00 / 토요일 09:30~19:00,,,0
27,사랑의동물병원,9:00,9:00,9:00,9:00,9:00,9:00,9:00,9:00,20:00,18:00,20:00,20:00,20:00,20:00,20:00,20:00,매일 09:00~20:00 / 화요일 09:00~18:00,,,0
28,형제종합동물병원,9:00,9:00,9:00,9:00,9:00,9:00,10:00,9:00,21:00,21:00,21:00,21:00,21:00,19:00,19:00,19:00,"평일 09:00~21:00/토,공휴일 09:00~19:00/일 10:00~19:00",,,0
29,리더스동물병원,9:00,9:00,9:00,9:00,9:00,9:00,9:00,9:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,매일 09:00~22:00,,,0
30,한스동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,20:00,20:00,19:00,19:00,19:00,16:00,,,"월,화요일 10:00~20:00 / 수,목,금요일 10:00~19:00 / 토요일 10:00~16:00",,,0
31,24시센트럴동물메디컬센터,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,매일 00:00~24:00,,,1
32,미래동물병원,,,,,,,,,,,,,,,,,,,,0
33,충현동물종합병원,8:00,8:00,8:00,8:00,8:00,8:00,8:00,8:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,"주간진료 08:00~20:00,야간진료 20:00~23:00,심야 응급진료 23:00~08:00",,,1
34,우주동물병원,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,매일 10:00~20:00,,,0
35,황동물병원,,,,,,,,,,,,,,,,,,,,0
36,스마트동물병원 강동암사점,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,21:00,21:00,21:00,21:00,21:00,19:00,19:00,19:00,"평일 10:00~21:00/주말,공휴일 10:00~19:00",,,0
37,희망동물병원,9:30,9:30,9:30,9:30,9:30,9:30,,,19:00,19:00,19:00,19:00,19:00,19:00,,,"평일,토요일 09:30~19:00",,,0
38,현대종합동물병원,9:00,9:00,9:00,9:00,9:00,9:00,,,21:00,21:00,21:00,21:00,21:00,19:00,,,평일 09:00~21:00 / 토요일 09:00~19:00,,,0
39,금천종합동물병원,10:00,10:00,10:00,10:00,10:00,0:00,,,19:30,19:30,19:30,19:30,19:30,24:00:00,,,"평일 10:00~19:30,토 00:00~24:00",,,0
