HospitalID,name,mon_start,tue_start,wed_start,thu_start,fri_start,sat_start,sun_start,hol_start,mon_end,tue_end,wed_end,thu_end,fri_end,sat_end,sun_end,hol_end,businessHours
1,유림동물안과병원,540,540,540,840,540,540,0,0,1080,1080,1080,1080,1080,1080,0,0,"평일,토 09:00~18:00,목 14:00~18:00"
2,다루동물병원,600,600,600,600,600,600,0,0,1200,1200,1200,1200,1200,1140,0,0,평일 10:00~20:00/토 10:00~19:00
3,제일종합동물병원,540,540,540,540,540,540,540,540,1080,1080,1080,1080,1080,1080,1080,1080,
4,안암종합동물병원,540,540,540,540,540,540,540,540,1080,1080,1080,1080,1080,1080,1080,1080,
5,포레동물병원,600,600,600,600,600,600,0,0,1140,1140,1140,1140,1140,840,0,0,평일 10:00~19:00 / 토요일 10:00~14:00
6,우리들동물종합병원,600,600,600,600,600,600,0,600,1170,1170,1170,1170,1170,1110,0,1110,"평일 10:00~19:30/토,공휴일 10:00~18:30"
7,신창동물병원,600,600,600,600,600,600,600,600,1200,1200,1200,1200,1200,1200,1200,1200,매일 10:00~20:00
8,튼튼동물병원,600,600,600,600,600,600,600,600,1080,1080,1080,1080,1080,1080,1080,1080,"매일 10:00~18:00 (월,일요일 예약진료만 가능)"
9,이재풍동물병원,570,570,570,570,570,0,0,780,1260,1260,1260,1260,1260,0,0,1260,평일 09:30~21:00/ 공휴일 13:00~21:00
10,고양이병원 백산동물병원,570,570,570,570,570,570,570,570,1200,1200,1200,1200,1200,1200,1200,1200,매일 일반진료 09:30~20:00 / 매일 응급진료 20:00~09:00 (모든 진료는 예약제로 운영됩니다)
11,스테이동물병원,600,600,600,600,600,600,0,0,1200,1200,1200,1200,1200,1080,0,0,평일 10:00~20:00 / 토요일 10:00~18:00
12,녹번동물병원,540,540,540,540,540,540,540,540,1080,1080,1080,1080,1080,1080,1080,1080,
13,로얄동물병원,540,540,540,540,540,540,540,540,1320,1320,1320,1320,1320,1320,1320,1320,"매일 09:00~22:00/야간응급 22:00~09:00(금,토 휴무)/미용 10:00~19:00(전화예약필수)"
14,오렌지동물병원,540,540,540,540,540,0,600,600,1260,1260,1260,1260,1260,0,1200,1200,"평일 09:00~21:00 / 일,공휴일 10:00~20:00"
15,노룬산동물병원,600,600,600,600,600,600,0,0,1140,1140,1140,1140,1140,1020,0,0,평일 10:00~19:00/토요일 10:00~17:00
16,선릉동물병원,570,570,570,570,570,570,570,0,1290,1290,1290,1290,1290,1290,1140,0,월~토 09:30~21:30/일 09:30~19:00
17,피카소동물병원,540,540,540,540,540,540,0,0,1200,1200,1200,1200,1200,1140,0,0,평일 09:00~20:00/토요일 09:00~19:00
18,양지동물병원,540,540,540,540,540,540,540,540,1320,1320,1320,1320,1320,1320,1320,1320,매일 09:00~22:00
19,사랑의동물병원,600,600,600,600,600,600,0,0,1140,1140,1140,1140,1140,1020,0,0,평일 10:00~19:00/토 10:00~17:00/미용시간 10:30~17:00 (예약제)
20,원동물병원,600,600,600,600,600,600,0,0,1140,1140,1140,1140,1140,1020,0,0,평일 10:00~19:00 / 토요일 10:00~17:00
21,보광동물병원,540,540,540,540,540,540,0,0,1140,1140,1140,1140,1140,1140,0,0,"평일,토 09:00~19:00"
22,Dr.주 동물병원,600,600,600,600,600,600,0,0,1110,1110,1110,1110,1110,900,0,0,평일 10:00~18:30/토 10:00~15:00
23,피닉스동물병원,570,570,570,570,570,570,0,570,1200,1200,1200,1200,1200,1020,0,1020,"평일 09:30~20:00/토,공휴일 09:30~17:00"
24,올바른동물병원,600,600,600,600,600,600,0,0,1200,1200,1200,1200,1200,1080,0,0,평일 10:00~20:00/토 10:00~18:00
25,시마동물병원,600,600,600,600,600,600,600,600,1200,1200,1200,1200,1200,1200,1200,1200,매일 10:00~20:00
26,가재울봉쥬르동물병원,570,570,570,570,570,570,0,0,1200,1200,1200,1200,1200,1140,0,0,평일 09:30~20:00 / 토요일 09:30~19:00
27,사랑의동물병원,540,540,540,540,540,540,540,540,1200,1080,1200,1200,1200,1200,1200,1200,매일 09:00~20:00 / 화요일 09:00~18:00
28,형제종합동물병원,540,540,540,540,540,540,600,540,1260,1260,1260,1260,1260,1140,1140,1140,"평일 09:00~21:00/토,공휴일 09:00~19:00/일 10:00~19:00"
29,리더스동물병원,540,540,540,540,540,540,540,540,1320,1320,1320,1320,1320,1320,1320,1320,매일 09:00~22:00
30,한스동물병원,600,600,600,600,600,600,0,0,1200,1200,1140,1140,1140,960,0,0,"월,화요일 10:00~20:00 / 수,목,금요일 10:00~19:00 / 토요일 10:00~16:00"
31,24시센트럴동물메디컬센터,0,0,0,0,0,0,0,0,1440,1440,1440,1440,1440,1440,1440,1440,매일 00:00~24:00
32,미래동물병원,540,540,540,540,540,540,540,540,1080,1080,1080,1080,1080,1080,1080,1080,
33,충현동물종합병원,480,480,480,480,480,480,480,480,1200,1200,1200,1200,1200,1200,1200,1200,"주간진료 08:00~20:00,야간진료 20:00~23:00,심야 응급진료 23:00~08:00"
34,우주동물병원,600,600,600,600,600,600,600,600,1200,1200,1200,1200,1200,1200,1200,1200,매일 10:00~20:00
35,황동물병원,540,540,540,540,540,540,540,540,1080,1080,1080,1080,1080,1080,1080,1080,
36,스마트동물병원 강동암사점,600,600,600,600,600,600,600,600,1260,1260,1260,1260,1260,1140,1140,1140,"평일 10:00~21:00/주말,공휴일 10:00~19:00"
37,희망동물병원,570,570,570,570,570,570,0,0,1140,1140,1140,1140,1140,1140,0,0,"평일,토요일 09:30~19:00"
38,현대종합동물병원,540,540,540,540,540,540,0,0,1260,1260,1260,1260,1260,1140,0,0,평일 09:00~21:00 / 토요일 09:00~19:00
39,금천종합동물병원,600,600,600,600,600,0,0,0,1170,1170,1170,1170,1170,1440,0,0,"평일 10:00~19:30,토 00:00~24:00"
40,용봉가축병원,540,540,540,540,540,540,540,540,1200,1200,1200,1200,1200,1200,1200,1200,매일 09:00~20:00
41,리즈동물병원,600,600,600,600,600,0,720,720,1200,1200,1200,1200,1200,0,1080,1080,"평일 10:00~20:00/일,공휴일 12:00~18:00(일요일 예약진료)"
42,재활한방 나눔동물병원,600,600,0,600,600,630,0,0,1140,1140,0,1140,1140,1050,0,0,"월,화,목,금 10:00~19:00/토 10:30~17:30"
