증상코드,증상분류 한글,증상목록코드,증상명,쉬운설명
a,가슴/배,a001,"복강 외부 종창, 종괴","배 밖에 뭐가 났어요, 배가 부었어요"
a,가슴/배,a002,"복강내부 종괴, 종창, 유착","배 안에 뭐가 난 거 같아요, 배가 부었어요"
a,가슴/배,a003,"복강이물, 흉강, 늑골","흉부, 복부에 이물이 있어요"
a,가슴/배,a004,"흉부,염발음, 가슴 늑골부 마찰음",가슴 쪽 뼈에서 소리가 나요
a,가슴/배,a005,"흉골, 가슴, 흉부의 기형",가슴이 기형이에요
a,가슴/배,a006,늑골뼈노출,가슴뼈가 보여요
a,가슴/배,a007,흉부 또는 복부 지각감퇴,배나 가슴을 만져도 무감각해요
a,가슴/배,a008,복부팽만,복부팽만이 나타나요
a,가슴/배,a009,복수,복수가 찼어요
a,가슴/배,a010,외복압에의한통증,배가 팽창해서 아파해요
a,가슴/배,a011,"산통, 복통,복부통증",배가 아파요
a,가슴/배,a012,배꼽,배꼽이 아파요
a,가슴/배,a013,유방통증,가슴에 손을 대면 아파해요
a,가슴/배,a014,"유선, 유방통증",유방 쪽 통증이 있어요
a,가슴/배,a015,"흉부, 흉강 타진시 확장된 폐",가슴쪽을 두드리니 팽창했어요
a,가슴/배,a016,"흉부,흉강 타진시 둔탁한 부위",가슴쪽을 두드리면 둔탁한 느낌이 들어요
a,가슴/배,a017,"핑사운드(복부양측),핑사운드(우측),핑사운드(가슴타진시),핑사운드(왼쪽),핑사운드(오른쪽),양측성핑사운드,좌측성핑사운드,우측성핑사운드,",가슴쪽을 두드리면 핑 소리가 나요
a,가슴/배,a018,"흉부 종창, 종괴, 흉부, 가슴, 늑골, 흉골",가슴에 뭐가 났어요
a,가슴/배,a019,"유선, 유방의 부종","유선, 유방이 부었어요"
a,가슴/배,a022,"유방염, 비정상 우유",유방염이 있어서 젖이 이상하게 나와요
a,가슴/배,a024,유즙분비과다,젖이 과하게 나와요
a,가슴/배,a025,"유선, 유방의 냉감","유선, 유방이 차가워요"
a,가슴/배,a026,"유선, 유방의 열감","유선, 유방이 뜨거워요"
a,가슴/배,a029,"유방, 유선 , 유방이 단단함","유선, 유방이 딱딱해요"
a,가슴/배,a030,"무유증, 유즙생산감소, 정지",젖이 적거나 나오지 않아요
a,가슴/배,a031,"유선의 종대, 유방비대, 여성형 유방","유방에 뭐가 났어요, 부었어요"
b,귀,b001,"난청, 귀머거리",난청 증세를 보여요
b,귀,b002,"귀의 화농성, 점액양 분비물, 귓밥이 많음, 악취",귀에 고름이 나고 귓밥이 많아요
b,귀,b003,"귀의 진드기, 응애 또는 기생충분비물",귀에 진드기와 기생충이 있어요
b,귀,b004,귀 긁기,귀를 긁어요
b,귀,b005,귀의 이물,귀에 이물이 있어요
c,꼬리,c001,"꼬리의 종창, 종괴","꼬리에 뭐가 났어요, 꼬리가 부었어요"
c,꼬리,c002,"꼬리무기력,꼬리의무기력,천골미골부위마비","꼬리에 힘이 없어요, 마비됐어요"
c,꼬리,c003,"꼬리, 항문 지각감퇴,꼬리항문지각감퇴,회음부, 항문 무감각",꼬리 쪽 부분을 만져도 무감각해요
c,꼬리,c004,"항문, 회음부, 꼬리 반사 이상","꼬리, 엉덩이 쪽 반응이 과하거나 옅어요"
c,꼬리,c005,"꼬리, 항문, 회음부 통증","꼬리, 엉덩이 쪽 통증이 있어요"
d,눈,d001,"실명, 시력상실",시력을 상실했어요
d,눈,d002,"위협반사반응에 무반응 또는 감소, 실명은 아님",실명은 아니지만 위협반응에 무반응해요
d,눈,d003,눈의 화농성 분비물,눈에서 화농성 분비물이 나와요
d,눈,d004,"사시, 사팔뜨기","사시,사팔뜨기 증상이 있어요"
d,눈,d005,안구진탕,안구가 무의식적으로 빠르게 움직여요
d,눈,d006,"안검내번, 눈꺼풀이 속으로 말림",눈꺼풀 속이 말렸어요
d,눈,d007,"안검외번, 눈꺼풀이 겉으로 말림",눈꺼풀 겉이 말렸어요
d,눈,d008,안검하수,눈꺼풀이 처졌어요
d,눈,d009,눈꺼풀 이물,눈꺼풀에 이물이 있어요
d,눈,d010,"안검연축, 경련",눈꺼풀이 떨려요
d,눈,d011,"제3안검 탈출, 순막의 돌출",눈이 돌출됐어요
d,눈,d012,속눈썹의 이상,속눈썹이 비정상적이에요
d,눈,d013,결막부종,"결막, 공막에 부종이 있어요"
d,눈,d014,"결막, 공막의 발적","결막, 공막이 빨개요"
d,눈,d015,"결막, 공막의 충혈, 비정상적인 혈관","결막, 공막이 충혈됐어요"
d,눈,d016,"결막, 공막의 열상, 절창, 손상","결막, 공막이 손상됐어요"
d,눈,d017,"결막, 공막의 구진","결막, 공막에 작은 발진이 있어요"
d,눈,d018,"각막의 종창, 종괴, 결절",각막이 부어 오르고 결절이 있어요
d,눈,d019,"각막의 부종, 혼탁","각막혼탁, 각막이 부어 올랐어요"
d,눈,d020,비정상적 각막 색소침착,각막의 색소가 침착됐어요
d,눈,d021,"각막의 궤양, 미란",각막 상피가 짓물러지고 궤양이 있어요
d,눈,d022,"각막손상, 열상, 절창",각막이 손상됐어요
d,눈,d023,각막 또는 안구 이물,각막에 이물이 있어요
d,눈,d024,"눈물흘림, 장액성 분비물, 축축한 눈",눈물을 흘리고 눈이 젖어 있어요
d,눈,d025,"눈물의 감소, 안구건조증",안구가 건조하고 눈물이 감소했어요
d,눈,d026,순막샘의 종대,순막샘이 부었어요
d,눈,d027,비루관이 막힘,눈이 건조해요
d,눈,d028,"백내장, 수정체 혼탁",백내장이 있어요
d,눈,d029,"수정체 이탈, 변위",수정체가 이동했어요
d,눈,d030,망막혈관 크기 이상,눈에 핏줄이 심하게 보여요
d,눈,d031,"망막출혈, 망막 출혈",망막에서 피가 나요
d,눈,d032,"망막 박리, 망막박리",망막이 떨어졌어요
d,눈,d033,망막 색소침착 이상,망막 색이 이상해요
d,눈,d034,"망막주름, 융기","망막에 주름이 졌어요, 망막 한 쪽이 올라왔어요"
d,눈,d035,"축동, 동공축소, 동공 수축",동공이 축소돼요
d,눈,d036,"산동, 확장된 동공",동공이 확장돼요
d,눈,d037,"동공 형태 비정상,동공형태비정상또는홍채의결함","동공 형태가 이상해요, 홍채가 결손 됐어요"
d,눈,d038,"전방축농, 안구전방에 지질이나 섬유소 축적",눈이 탁해요
d,눈,d039,"유착증, 유착",눈을 잘못떠요
d,눈,d040,홍채의 색소침착 이상,홍채 색이 이상해요
d,눈,d041,안구전방출혈,눈에서 피가 나요
d,눈,d042,눈의 외부 또는 내부 기생충,눈에 기생충이 있어요
d,눈,d043,동공부동,동공이 텅 비어 보여요
d,눈,d044,시신경 출혈,시신경에 출혈이 있어요
d,눈,d045,"소안구증, 안구위축",안구가 작아졌어요
d,눈,d046,"대안구증, 녹내장",안구가 커졌어요
d,눈,d047,"안와, 안와주위, 눈주위, 결막 부종, 안구 종괴",안구 주위에 뭐가 났어요
d,눈,d048,"눈내부종괴종창,눈내부종괴",안구가 부어올랐어요
d,눈,d049,안구돌출,안구가 돌출됐어요
d,눈,d050,안구함몰,안구가 들어갔어요
d,눈,d051,"눈의 통증, 안통",눈 쪽 통증이 있어요
e,다리/발/발톱,e001,앞다리 종창,앞다리가 부었어요
e,다리/발/발톱,e002,앞발 종창,앞발이 부었어요
e,다리/발/발톱,e003,"뒷다리 종창, 종괴","뒷다리가 부었어요, 뒷다리에 뭐가 났어요"
e,다리/발/발톱,e004,"뒷발 종창, 종괴","뒷발이 부었어요, 뒷발에 뭐가 났어요"
e,다리/발/발톱,e005,앞다리 위축,앞다리가 작아졌어요
e,다리/발/발톱,e006,"뒷다리 위축,후지위축",뒷다리가 작아졌어요
e,다리/발/발톱,e007,"앞다리 파행, 경직, 절름발이",앞다리를 절어요
e,다리/발/발톱,e008,"뒷다리 파행, 경직, 절름발이",뒷다리를 절어요
e,다리/발/발톱,e009,"앞다리허약,부전마비,무기력","앞다리에 힘이 없어요, 마비됐어요"
e,다리/발/발톱,e010,후지마비,"뒷다리에 힘이 없어요, 마비됐어요"
e,다리/발/발톱,e011,"사지마비, 무력","사지에 힘이 없어요, 마비됐어요"
e,다리/발/발톱,e012,"부전마비, 무력, 후지마비",양쪽 뒷다리가 마비됐어요
e,다리/발/발톱,e013,편측 부전마비,한 쪽 다리가 마비됐어요
e,다리/발/발톱,e014,"사지마비, 무력","다리에 힘이 없어요, 마비됐어요"
e,다리/발/발톱,e015,앞다리 이물,앞다리에 이물이 있어요
e,다리/발/발톱,e016,뒷다리 이물,뒷다리에 이물이 있어요
