,질병명,축종,정의,주요증상
0,갑상선기능저하증(Hypothyroidism),"개, 고양이","갑상선에서 T3, T4의 부적절한 생산, 분비로 세포대사활성 및 행동기능의 저하가 초래되는 질환",거친피모 곤두선털 과각화증 두꺼운피부 난산 무기력 침울 졸림 생기없음 발육정지 체중증가없음 성장지연 배변량감소 변비 배변안됨 비만 체중과다 과체중 서맥 느린심박동이나맥박 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 저체온증 낮은체온 탈모 무모증 털이광택이없이덥수룩하거나지저분함 피부부종 피부인설 비듬 비늘 피부 털의건조
1,갑상선기능항진증 (Hyperthyroidism),"개, 고양이","T3와 T4의 분비와 과도한 생산물에 결과로 나타난 질병 ",1도방실심차단 2도방실심차단 각차단 좌각차단 우각차단 양각차단 거친피모 곤두선털 걷다앞으로넘어짐 목적없이배회 구강점막의울혈 홍반 발적 구토 기침 다뇨증 다식증 과도한식욕 다음 많이마심 지나친갈증 다호흡 빠른호흡(빈호흡) 과호흡 떨림 전율 오한 맥박강도증가 무기력 침울 졸림 생기없음 목부위종창 경부의종괴 목소리변성 발열 고열 발작 실신 경련 간질발작 허탈 부정맥 불규칙한심박및맥박 분마율동 분마성리듬 분마성리듬 분변냄새의이상 비정상의폐포음 흉강음 랏셀음 염발음 천명음 마찰음 랏셀음 염발음 천명음 마찰음 비정상적또는공격적행동 습성이바뀜 심방빈맥 빈박 설사 하리 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 심방빈맥 빈박 심방조기박동 심실기외수축 다발성혹은단발성 심실이탈박동 심실확장 좌 우혹은양쪽 심음의감소 심잡음 약맥 소맥 운동실조 협조불능 절뚝거림 넘어짐 재채기 전신허약 부전마비 마비 지각과민 예민함 과다운동 지루성피부 털 깃털 깃털 지방변 진전 체중감소 탈모 무모증 탈수 털이광택이없이덥수룩하거나지저분함 폐포음감소 호흡음이없음 피부 털의건조 피하염발음 피하기종 혈뇨 호흡곤란 개구호흡 그르렁거림 가쁜호흡 후두 기관 인두의종창 종괴 흥분 헛소리 광분
2,"코로나 바이러스 감염증, 개(Canine Coronavirus Infection)",개,"개 코로나 바이러스(CCV)에 의해 발생하며 구토와 설사를 수반하는 장염을 유발하는 질병",구토 무기력 침울 졸림 생기없음 발열 고열 분변냄새의이상 설사 하리 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 점액변 점액양분변 탈수 혈변
3,"파보바이러스 감염증, 개(Canine Parvoviral Infection)",개,"주로 3주미만의 어린 개에서 출혈성 장염을 일으키는 급성 위장관 질환",구강점막의궤양 수포 플라크(반) 농포 미란 절창 구토 기립불능 다우너 림프절종대 림프절병증 종창 종괴 무기력 침울 졸림 생기없음 발열 고열 복강외부압박에따른통증 복강내부종괴 복수 분변냄새의이상 산통 설사 하리 수척 건강상태불량 증체율불량 식욕부진 전신허약 부전마비 마비 점상또는반상출혈 점액변 점액양분변 점액양비강분비물 점막 피부창백 빈혈 체중감소 탈수 토혈증 피부 귀 다리냉감 혈변 혼수 혼미 화농성비강분비물 황달
4,"디스템퍼(Canine Distemper:CD), 개, 개홍역",개,"급성, 아급성 전염성 열성 질환으로 3-6개월령에 다발, 전신형, 호흡기, 소화기, 안형, 신경형으로 구분, 병원체는 사람 홍역바이러스와 밀접한 관련이 있음",각막의궤양 미란 거리감각불능 거리감각과대및과소 걷다앞으로넘어짐 목적없이배회 결막 공막부종 결막 공막의발적 결막 공막의충혈 혈관의이상 과각화증 두꺼운피부 과도한침흘림 유연 입에거품 구토 근육긴장저하 기립불능 다우너 기침 눈물이적음 안구건조증 눈물흘림 장액성분비물 축축한눈 눈의화농성분비물 다호흡 빠른호흡(빈호흡) 과호흡 동공부동 뒷다리경련 근경련 무기력 침울 졸림 생기없음 뒷다리반사이상(증가나감소) 뒷다리양쪽부전마비 무기력 마비 등부위경련 근경련 떨림 전율 오한 망막박리 망막색소침착이상 망막반사이상 망막출혈 망막혈관크기이상 머리기울기 머리 얼굴 목의경련 근경련 목 경부 목구멍통증 목의경직 뻣뻣한목 무기력 침울 졸림 생기없음 발열 고열 발육정지 체중증가없음 성장지연 발작 실신 경련 간질발작 허탈 복강외부압박에따른통증 분변실금 비정상의폐포음 흉강음 랏셀음 염발음 천명음 마찰음 비정상적또는공격적행동 습성이바뀜 비정상적인자세 빛에대한동공의비정상반응 사지마비 무기력 산동 확장된동공 선회운동 설사 하리 수척 건강상태불량 증체율불량 시신경위축 크기감소 시신경출혈 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 실명 시력상실 안검연축 경련 안구진탕 안구불수의적운동 앞다리경련 간대성근경련 앞다리반사이상(증가나감소) 앞다리허약 무기력 부전마비 마비 요실금 운동실조 협조불능 절뚝거림 넘어짐 유두부종 시신경크기증가 유산 허약한새끼분만 사산 이급후증 배변곤란 인두의홍반 발적 전신허약 부전마비 마비 점상또는반상출혈 타박상 점액변 점액양분변 점액양비강분비물 장액성 수양성 지각과민 예민함 과다운동 체중감소 탈모 무모증 탈수 피부구진 피부농포 피부통증 피부 털 깃털이축축함 피부의가피 딱지 피부의궤양 미란 찰과상 피부의열상 절창 교상 피부홍반 염증 발적 혈변 호흡곤란 개구호흡 그르렁거림 가쁜호흡 화농성비강분비물 후궁반장 후두 기관 인두의종창 종괴 흥분 헛소리 광분
5,"각결막염, 건성(Keratoconjunctivitis sicca : KCS)","개, 고양이","눈물의 분비가 불충분하거나, 지나치게 안검열이 길거나 안검외반에 의한 안검 폐쇄 곤란 때문에 각막과 결막이 누액으로 적시어지지 않게 되어 가결막에 진행성의 만성 병변을 야기하는 질환이며, 유지에 있어서 필수 요소인 철을 과량으로 섭취하였을 때 생기는 질병으로 안구 건조증(Dry eye, Xerophthalmia)으로도 불리우고 있음", 각막색소침착이상 각막의궤양 미란 각막의부종 혼탁 각막혈관신생 판누스 결막부종 결막 공막의발적 결막 공막의충혈 혈관의이상 눈물이적음 안구건조증 눈부심 수명 수명 눈의통증 안통 눈의화농성분비물 동공부동 무기력 침울 졸림 생기없음 실명 시력상실 안검내번 눈꺼풀이속으로말림 안검연축 경련 경련 안구함몰 눈이움푹꺼짐 제3안검탈출 순막의돌출 축동 동공축소
6,고관절 이형성증(Hip dysplasia),개,대퇴고관절의 기형과 변성,골반 둔부통증 뒷다리관절이완 탈구 뒷다리및골반부 염발음 후지골반마찰음 뒷다리통증 뒷다리파행 경직 절름발이 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 운동실조 협조불능 절뚝거림 넘어짐 이동거부
7,고양이 백혈병 바이러스(Feline Leukemia Virus:FeLV),고양이,"retrovirus인 FeLV에 의해 고양이에서 면역결핍과 종양성 질환을 일으키는 질병.","각막의궤양 미란 각막의부종 혼탁 각막의종창 종괴 결절 각막혈관신생 판누스 간 비장종대 비장종대 간종대 거리감각불능 거리감각과대및과소 구강점막의울혈 홍반 발적 구강점막의궤양 수포 구역질 구토 근긴장증 근경직증 기립불능 다우너 기침 꼬리 무기력 침울 졸림 생기없음 다뇨증 다식증 과도한식욕 다음 많이마심 지나친갈증 다호흡 빠른호흡(빈호흡) 과호흡 단백뇨 대안구증 녹내장 동공형태비정상또는홍채의결함 동공부동 뒷다리반사이상(증가나감소) 뒷다리양쪽부전마비 무기력 마비 뒷다리위축 야윔 뒷다리종창 종괴(관절부/비관절부포함) 뒷다리파행 경직 절름발이 뒷발 발가락종창 종괴 림프절종대 림프절병증 종창 종괴 망막박리 망막반사이상 망막출혈 망막혈관크기이상 무기력 침울 졸림 생기없음 처짐 머리 얼굴 귀 턱 코의종창 종괴 목 경부 목구멍통증 목의경직 뻣뻣한목 무기력 침울 졸림 생기없음 발열 고열 발열 고열종창 발작 실신 경련 간질발작 허탈 배변량감소 변비 배변안됨 백내장 수정체혼탁 복강외부압박에따른통증 복강내부종괴 종창 유착 복부팽만 복수 비정상적인자세 비출혈 코피 심방빈맥 빈박 빛에대한동공의비정상반응 사시 사팔뜨기 사지마비 무기력 산동 확장된동공 상부기도의비정상호흡음 코고는소리 선회운동 설사 하리 모세혈관재충만시간지연 소리계속지르기 소리가커짐 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 신장종대촉진 실명 시력상실 심음의감소 안검하수 안구전방출혈 ""블랙아이"" 안구돌출 안구진탕 안구불수의적운동 안구함몰 눈이움푹꺼짐 안와 안와주위 결막부종 안구종괴 암컷의불임증 저수태 앞다리반사이상(증가나감소) 앞다리위축 야윔 앞다리종창 종괴(관절부/비관절부위포함) 앞다리파행 경직 절름발이 앞다리허약 무기력 부전마비 마비 약맥 소맥 외음부 질의악취냄새 분비물 외음부 질의화농성분비물 요실금 요통 허리통증 허리통증 운동실조 협조불능 절뚝거림 넘어짐 유리체(초자체)혼탁또는침전물 유산 허약한새끼분만 사산 유착증 유착 유착 이급후증 배변곤란 이동거부 저체온증 낮은체온 적색뇨 갈색뇨 전방축농 안구전방에지질이나섬유소축적 전신파행 경직 절름발이 전신허약 부전마비 마비 점상또는반상출혈 타박상 제3안검탈출 순막의돌출 지각과민 예민함 과다운동 점막 피부창백 빈혈 체중감소 축동 동공축소 출혈 응고부전 탈수 폐포음감소 호흡음이없음 피부괴사 가피 괴저 피부 귀 다리냉감 피부누관 공동형성 피부또는피하의종창 종괴 결절 피부의궤양 미란 찰과상 피부홍반 염증 발적 피하지방조직층반사이상(증가나감소) 항문 회음부 꼬리반사이상 혈뇨 혈변 혈변 분변내잠혈 호흡곤란 개구호흡 그르렁거림 가쁜호흡 호흡시이상한냄새 구강의악취 혼수 혼미 홍채의색소침착이상 황달"
8,"고양이 전염성 복막염(Feline infectious peritonitis, FIP)",고양이,"코로나바이러스에의한 전신성 질병으로 지속적인 고열과 농성육아종병변을 보이며 체강에 삼출성 액체가 저류되는 폐사율이 높은 전염성 질병","각막의부종 혼탁 각막혈관신생 판누스 간 비장종대 비장종대 간종대 거리감각불능 거리감각과대및과소 거친피모 곤두선털 걷다앞으로넘어짐 목적없이배회 결막 공막의발적 결막 공막의충혈 혈관의이상 구토 근긴장증 근경직증 근육긴장저하 기침 눈물흘림 장액성분비물 축축한눈 눈부심 수명 수명 눈의통증 안통 안통 눈의화농성분비물 다뇨증 다식증 과도한식욕 다음 많이마심 지나친갈증 다호흡 빠른호흡(빈호흡) 과호흡 당뇨 동공부동 뒷다리반사이상(증가나감소) 뒷다리양쪽부전마비 무기력 마비 뒷다리파행 경직 절름발이 떨림 전율 오한 림프절종대 림프절병증 종창 종괴 망막박리 망막반사이상 망막주름 융기 망막출혈 망막혈관크기이상 머리기울기 무기력 침울 졸림 생기없음 처짐 목 경부 목구멍통증 무기력 침울 졸림 생기없음 발열 고열 발육정지 체중증가없음 성장지연 발작 실신 경련 간질발작 허탈 방향감각상실 기억상실 배변량감소 변비 배변안됨 복강외부압박에따른통증 복강내부종괴 종창 유착 복부팽만 복수 분변실금 비정상의폐포음 흉강음 랏셀음 염발음 천명음 마찰음 비정상적또는공격적행동 습성이바뀜 비정상적인자세 심방빈맥 빈박 빛에대한동공의비정상반응 사지마비 무기력 산동 확장된동공 선회운동 설사 하리 수척 건강상태불량 증체율불량 시신경위축 크기감소 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 신장종대촉진 실명 시력상실 심음의감소 심전도전압감소 안검연축 경련 경련 안구전방출혈 ""블랙아이"" 안구진탕 안구불수의적운동 앞다리반사이상(증가나감소) 앞다리지각감퇴 무감각 앞다리파행 경직 절름발이 연하곤란 연하장애 요실금 요통 허리통증 운동기피 쉽게지침 운동실조 협조불능 절뚝거림 넘어짐 유두부종 시신경크기증가 유리체(초자체)혼탁또는침전물 유착증 유착 유착 음경 포피 고환 음낭의종대 종괴 음낭 고환크기이상 이식증 이기증(이물섭취기호증) 전방축농 안구전방에지질이나섬유소축적 전신파행 경직 절름발이 전신허약 부전마비 마비 점액양비강분비물 장액성 수양성 지각과민 예민함 과다운동 진전 점막 피부창백 빈혈 청색증 피부나점막이푸름 체중감소 축동 동공축소 케톤뇨 우유나뇨중에케톤체 탈수 편측부전마비 폐포음감소 호흡음이없음 호흡곤란 개구호흡 그르렁거림 가쁜호흡 화농성비강분비물 황달 후궁반장 흥분 헛소리 광분"
9,"고양이의 이상 배뇨(Housesoiling in cats, Urine)",고양이,"고양이가 배변 상자 밖에 웅크리고 수평면에 배뇨를 하는 것과 배변 상자 밖의 수직면에 배뇨하는 것을 특징으로 하는 부적절한 배뇨 행위",비정상적또는공격적행동 습성이바뀜
10,구비강 누공 (Oronasal fistula),"개, 고양이"," 구강과 비강사이에 구멍이 생기는 질병으로 구강으로 들어온 물질이 비강으로 들어가 감염을 일으킬수 있는 질병",거친피모 곤두선털 구강 혀의종창 종괴 구개열 구순열 비도비강내섭취물 수척 건강상태불량 증체율불량 이빨의결손 이빨수감소 재채기 점액양비강분비물 장액성 수양성 체중감소 호흡시이상한냄새 구강의악취 화농성비강분비물
11,기관지 확장증(Bronchiectasis),개,기관지 분비물의 과잉분비로 인한 기관지 확장을 특징으로 하는 질환,기침 기침시객혈 다호흡 빠른호흡(빈호흡) 과호흡 무기력 침울 졸림 생기없음 발열 고열 비정상의폐포음 흉강음 랏셀음 염발음 천명음 마찰음 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 체중감소 호흡곤란 개구호흡 그르렁거림 가쁜호흡 호흡시이상한냄새 구강의악취 흉부 흉곽 늑골 흉골의통증
12,웅성호르몬결핍증(Hypoandrogenism),"개, 고양이",Testosterone과 그 유도체와 같은 남성호르몬이 상대적 혹은 절대적으로 결핍되는 질병,거친피모 곤두선털 소양감 가려움 탈모 무모증 피부색소과잉침착 피부인설 비듬 비늘 피부 털의건조 피부가비쩍마름 야윈피부 피부색소침착감소 백반증 백피증
13,노카르디아증(Nocardiosis),"개, 고양이","토양이나 사료중에 존재하는 Nocardia asteroides에 의한 감염증으로 피하와 내장 여러 장기의 소상 괴사 및 농양을 특징으로 하는 화농성 육아종성 질병",가슴 흉강타진시둔탁한부위 골반및회음부의종창 종괴 골반 둔부통증 기침 다호흡 빠른호흡(빈호흡) 과호흡뒷다리 무기력 침울 졸림 생기없음 뒷다리양쪽부전마비 무기력 마비 뒷다리종창 종괴(관절부/비관절부포함) 뒷다리뼈노출 뒷발 발가락종창 종괴 림프절종대 림프절병증 종창 종괴 무기력 침울 졸림 생기없음 발열 고열 발작 실신 경련 간질발작 허탈 복강외부종창 종괴 비정상의폐포음 흉강음 랏셀음 염발음 천명음 마찰음 비정상적인자세 설사 하리 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 앞다리종창 종괴(관절부/비관절부위포함) 앞다리뼈노출 앞발 발가락종창 종괴 요통 허리통증 전신허약 부전마비 마비 점액양비강분비물 장액성 수양성 진전 점막 피부창백 빈혈 체중감소 탈모 무모증 탈수 폐포음감소 호흡음이없음 피부괴사 가피 괴저 피부누관 공동형성 피부또는피하의종창 종괴 결절 피부 털 깃털이축축함 피부의궤양 미란 찰과상 피부의악취 냄새 냄새 피부의화농성분비물 피하염발음 피하기종 호흡곤란 개구호흡 그르렁거림 가쁜호흡 화농성비강분비물 후두 기관 인두의종창 종괴
14,렙토스피라증(Leptospirosis),"개, 고양이","Leptospira 속 감염균에 의한 감염이며 개, 고양이, 기타 동물들에서 주로 신염과 간염을 급성형, 만성형으로 일으키는 질병",갈증이줄어듬 갈증이없음 안와 안와주위 결막부종 안구종괴 결막 공막의발적 결막 공막의충혈 혈관의이상 구강점막의울혈 홍반 발적 구강점막의궤양 수포 구토 급사 돌연사 기립불능 다우너 기침 눈물흘림 장액성분비물 축축한눈 눈의화농성분비물 다뇨증 다음 많이마심 지나친갈증 다호흡 빠른호흡(빈호흡) 과호흡 단백뇨 당뇨 뒷다리양쪽부전마비 무기력 마비 뒷다리파행 경직 절름발이 떨림 전율 오한 림프절종대 림프절병증 종창 종괴 모세혈관재충만시간지연 무기력 침울 졸림 생기없음 발열 고열 방향감각상실 기억상실 배뇨곤란 복강외부압박에따른통증 복수 부정맥 불규칙한심박및맥박 비출혈 코피 코피 심방빈맥 빈박 서맥 느린심박동이나맥박 설사 하리 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 신장종대촉진 앞다리통증 앞다리파행 경직 절름발이 요통 허리통증 허리통증 이동거부 저체온증 낮은체온 적색뇨 갈색뇨 전신파행 경직 절름발이 전신허약 부전마비 마비 점상또는반상출혈 타박상 점액양비강분비물 장액성 수양성 체중감소 출혈 응고부전 탈수 토혈증 피부 귀 다리냉감 피부부종 핍뇨 무뇨증 요정체 혈뇨 혈변 혈색소뇨 근색소뇨 호흡곤란 개구호흡 그르렁거림 가쁜호흡 호흡시이상한냄새 구강의악취 혼수 혼미 화농성비강분비물 황달
15,리슈마니아증(Leishmaniasis),"개, 고양이","Leishmania spp가 겨모기에 의해 전파되어 내장 또는 피부에 발병되는 원충성 질병",각막의궤양 미란 각막의부종 혼탁 각막혈관신생 판누스 구강점막의궤양 수포 구토 눈내부종괴종창 눈물흘림 장액성분비물 축축한눈 눈의통증 안통 눈의화농성분비물 대안구증 녹내장 림프절종대 림프절병증 종창 종괴 머리 얼굴 귀 턱 코의종창 종괴 무기력 침울 졸림 생기없음 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 안구돌출 안와 안와주위 결막부종 안구종괴 전방축농 안구전방에지질이나섬유소축적 탈모 무모증 피부구진 피부또는피하의종창 종괴 결절 피부의가피 딱지 피부의궤양 미란 찰과상 피부홍반 염증 발적 황달
